#Angle,       PSD,
0.985,        17,
 0.99,        25,
0.995,        20,
	1,        14,
1.005,        10,
 1.01,         7,
1.015,        12,
 1.02,        16,
1.025,        11,
 1.03,        24,
1.035,        17,
 1.04,        17,
1.045,        12,
 1.05,        12,
1.055,        12,
 1.06,         8,
1.065,        15,
 1.07,         9,
1.075,        14,
 1.08,        11,
1.085,        19,
 1.09,        10,
1.095,        11,
  1.1,        12,
1.105,         9,
 1.11,         9,
1.115,         7,
 1.12,        13,
1.125,         9,
 1.13,        11,
1.135,        12,
 1.14,         8,
1.145,        10,
 1.15,        11,
1.155,        10,
 1.16,         8,
1.165,         7,
 1.17,         8,
1.175,         4,
 1.18,        10,
1.185,        10,
 1.19,        13,
1.195,         5,
  1.2,         6,
1.205,         8,
 1.21,         8,
1.215,         5,
 1.22,         8,
1.225,         6,
 1.23,         5,
1.235,         5,
 1.24,         4,
1.245,         5,
 1.25,         1,
1.255,         8,
 1.26,         7,
1.265,         6,
 1.27,        10,
1.275,         6,
 1.28,        10,
1.285,         5,
 1.29,         4,
1.295,         5,
  1.3,         8,
1.305,         6,
 1.31,         3,
1.315,         2,
 1.32,         7,
1.325,         4,
 1.33,         5,
1.335,         4,
 1.34,         5,
1.345,         7,
 1.35,         4,
1.355,         8,
 1.36,         9,
1.365,         4,
 1.37,         2,
1.375,         5,
 1.38,         8,
1.385,         2,
 1.39,         6,
1.395,         5,
  1.4,         2,
1.405,         5,
 1.41,         4,
1.415,         3,
 1.42,         3,
1.425,         3,
 1.43,         3,
1.435,         4,
 1.44,         3,
1.445,         3,
 1.45,         4,
1.455,         3,
 1.46,         6,
1.465,         4,
 1.47,         4,
1.475,         2,
 1.48,         1,
1.485,         3,
 1.49,         2,
1.495,         1,
  1.5,         4,
1.505,         3,
 1.51,         4,
1.515,         3,
 1.52,         2,
1.525,         5,
 1.53,         2,
1.535,         4,
 1.54,         4,
1.545,         0,
 1.55,         4,
1.555,         3,
 1.56,         1,
1.565,         3,
 1.57,         4,
1.575,         4,
 1.58,         0,
1.585,         4,
 1.59,         6,
1.595,         2,
  1.6,         0,
